"pub_date"	"venue"	"pub_details"	"authors"	"title"	"citation"	"journalurl"	"arxivurl"	"pdfurl"	"imageurl"	"slug"	"summary"	"description"
"2018-05-21"	"Proceedings of the National Academy of Sciences"	"201722609, (2018).
201722609, (2018).
May 2018, 201722609"	"F. Font-Clos, S. Zapperi, C. A. M. La Porta"	"Topography of epithelial–mesenchymal plasticity"	"F. Font-Clos, S. Zapperi, C. A. M. La Porta, PNAS May 2018, 201722609"	"https://doi.org/10.1073/pnas.1722609115"	""	"https://fontclos.github.io/files/Font-Clos_2018_Topography_of_epithelial_mesenchymal_plasticity.pdf"	"topography-emt.png"	"topography-emt"	"Cells can change their phenotype from epithelial to mesenchy-mal  during  development  and  in  cancer  progression,  wherethis  transition  is  often  associated  with  metastasis  and  poordisease  prognosis.  Here  we  show  this  process  involves  thetransit through a multitude of metastable hybrid phenotypesin  a  way  that  is  similar  to  the  driven  dynamics  of  disor-dered  materials.  Our  method  shows  that  highly  aggressivehybrid  epithelial/mesenchymal  cell  phenotypes  are  locatedin  metastable  regions  that  can  easily  switch  under  externaland  internal  perturbations.  We  propose  a  general  mappingstrategy  that  can  be  used  for  other  pathways,  providing  auseful  tool  to  visualize  the  ever  increasing  number  of  geneexpression data obtained from single cells and tissues."	"The  transition  between  epithelial  and  mesenchymal  states  hasfundamental  importance  for  embryonic  development,  stem  cellreprogramming,  and  cancer  progression.  Here,  we  construct  atopographic map underlying epithelial–mesenchymal transitionsusing a combination of numerical simulations of a Boolean net-work model and the analysis of bulk and single-cell gene expres-sion  data.  The  map  reveals  a  multitude  of  metastable  hybridphenotypic states, separating stable epithelial and mesenchymalstates, and is reminiscent of the free energy measured in glassymaterials and disordered solids. Our work not only elucidates thenature of hybrid mesenchymal/epithelial states but also providesa general strategy to construct a topographic representation ofphenotypic plasticity from gene expression data using statisticalphysics methods."
"2018-04-26"	"Physiological Measurement"	"39 4"	"F. Font-Clos, S. Zapperi, C. A. M. La Porta"	"Gene expression signature of obesity in monozygotic twins"	"F. Font-Clos, S. Zapperi, C. A. M. La Porta, bioRxiv 159186"	"https://doi.org/10.1088/1361-6579/aab85a"	"https://doi.org/10.1101/159186"	"https://fontclos.github.io/files/Font-Clos_2018_Gene_expression_signature_of_obesity_in_monozygotic_twins.pdf"	"twins.jpeg"	"monozygotic-twins"	"Obesity is a disease with a critical increase in childhood. An important unanswered question is to understand if this disease is due to genetic causes or to the life-style of the subjects. To address this question, we have analyzed if monozygotic twins show the same robust transcriptomic signature (5σ, as for the Higgs Boson) that we have recently revealed in obese subjects. Our results show that our signature correlates with BMI in paired transcriptomes of monozygotic twins, suggesting that the signature does not reflect underlying genetic causes."	"Obesity is a disease with a critical increase in childhood. An important unanswered question is to understand if this disease is due to genetic causes or to the life-style of the subjects. To address this question, we have analyzed if monozygotic twins show the same robust transcriptomic signature (5σ, as for the Higgs Boson) that we have recently revealed in obese subjects. Our results show that our signature correlates with BMI in paired transcriptomes of monozygotic twins, suggesting that the signature does not reflect underlying genetic causes."
"2017-08-22"	"Physical Review E"	"96 022318"	"A. Corral, F. Font-Clos"	"Dependence of exponents on text length versus finite-size scaling for word-frequency distributions"	"A. Corral, F. Font-Clos, Phys. Rev. E 96 022318"	"https://doi.org/10.1103/PhysRevE.96.022318"	"https://arxiv.org/abs/1405.0207"	"https://fontclos.github.io/files/Corral_2017_Dependence_exponents_vs_scaling.pdf"	"dependence_length.png"	"dependence-length"	"Some authors have recently argued that a finite-size scaling law for the text-length dependence of word- frequency distributions cannot be conceptually valid. Here we give solid quantitative evidence for the validity of this scaling law, using both careful statistical tests and analytical arguments based on the generalized central-limit theorem applied to the moments of the distribution (and obtaining a novel derivation of Heaps’ law as a by-product). We also find that the picture of word-frequency distributions with power-law exponents that decrease with text length [X. Yan and P. Minnhagen, Physica A 444, 828 (2016)] does not stand with rigorous statistical analysis. Instead, we show that the distributions are perfectly described by power-law tails with stable exponents, whose values are close to 2, in agreement with the classical Zipf’s law. Some misconceptions about scaling are also clarified."	"Some authors have recently argued that a finite-size scaling law for the text-length dependence of word- frequency distributions cannot be conceptually valid. Here we give solid quantitative evidence for the validity of this scaling law, using both careful statistical tests and analytical arguments based on the generalized central-limit theorem applied to the moments of the distribution (and obtaining a novel derivation of Heaps’ law as a by-product). We also find that the picture of word-frequency distributions with power-law exponents that decrease with text length [X. Yan and P. Minnhagen, Physica A 444, 828 (2016)] does not stand with rigorous statistical analysis. Instead, we show that the distributions are perfectly described by power-law tails with stable exponents, whose values are close to 2, in agreement with the classical Zipf’s law. Some misconceptions about scaling are also clarified."
"2017-06-30"	"npj Systems Biology and Applications"	"3 18"	"F. Font-Clos, S. Zapperi, C. A. M. La Porta"	"Integrative analysis of pathway deregulation in obesity"	"F. Font-Clos, S. Zapperi, C. A. M. La Porta, npj Syst. Biol. Appl.  3 18"	"https://doi.org/10.1038/s41540-017-0018-z"	""	"https://fontclos.github.io/files/Font-Clos_2017_Obesity.pdf"	"obesity.jpeg"	"pathway-deregulation-obesity"	"The worldwide increase in obesity is extremely worrisome, especially because this condition is associated with a higher risk for diseases such as type 2 diabetes and cancer. Identifying alterations in regulatory and metabolic activities associated with obesity is complicated due to the presence of noise."	"Obesity is a pandemic disease, linked to the onset of type 2 diabetes and cancer. Transcriptomic data provides a picture of the alterations in regulatory and metabolic activities associated with obesity, but its interpretation is typically blurred by noise. Here, we solve this problem by collecting publicly available transcriptomic data from adipocytes and removing batch effects using singular value decomposition. In this way we obtain a gene expression signature of 38 genes associated to obesity and identify the main pathways involved. We then show that similar deregulation patterns can be detected in peripheral markers, in type 2 diabetes and in breast cancer. The integration of different data sets combined with the study of pathway deregulation allows us to obtain a more complete picture of gene-expression patterns associated with obesity, breast cancer, and diabetes."
"2017-06-16"	"Scientific Reports"	"7 3748"	"A. Taloni, F. Font-Clos, L. Guidetti, S. Milan, M. Ascagni, C. Vasco, M. E. Pasini, M. R. Gioria, E. Ciusani, S. Zapperi, C. A. M. La Porta"	"Probing spermiogenesis: a digital strategy for mouse acrosome classification"	"A. Taloni, F. Font-Clos, L. Guidetti, S. Milan, M. Ascagni, C. Vasco, M. E. Pasini, M. R. Gioria, E. Ciusani, S. Zapperi, C. A. M. La Porta, Sci. Rep. 7 3748, "	"https://doi.org/10.1038/s41598-017-03867-7"	""	"https://fontclos.github.io/files/Taloni_2017_Probing_spermiogenesis.pdf"	"spermiogenesis.jpeg"	"probing-spermiogenesis"	"We explore semi-automatic classification techniques in the context of acrosome morphological analysis during spermiogenesis."	"Classification of morphological features in biological samples is usually performed by a trained eye but the increasing amount of available digital images calls for semi-automatic classification techniques. Here we explore this possibility in the context of acrosome morphological analysis during spermiogenesis. Our method combines feature extraction from three dimensional reconstruction of confocal images with principal component analysis and machine learning. The method could be particularly useful in cases where the amount of data does not allow for a direct inspection by trained eye."
"2016-09-30"	"Physical Review E"	"94 030102(R)"	"F. Font-Clos, N. R. Moloney"	"Percolation on trees as a Brownian excursion: from Gaussian to Kolmogorov-Smirnov to exponential statistics"	"F. Font-Clos, N.R. Moloney, Phys. Rev. E 94, 030102(R)"	"https://doi.org/10.1103/PhysRevE.94.030102"	"https://arxiv.org/abs/1606.03764"	"https://fontclos.github.io/files/Font-Clos_2016_Percolation_on_Trees_as_Brownian_Excursion.pdf"	"ks-percolation.jpeg"	"percolation-brownian"	"We calculate the distribution of the size of the percolating cluster on a tree in the subcritical, critical, and supercritical phase. We do this by exploiting a mapping between continuum trees and Brownian excursions, and arrive at a diffusion equation with suitable boundary conditions."	"We calculate the distribution of the size of the percolating cluster on a tree in the subcritical, critical, and supercritical phase. We do this by exploiting a mapping between continuum trees and Brownian excursions, and arrive at a diffusion equation with suitable boundary conditions. The exact solution to this equation can be conveniently represented as a characteristic function, from which the following distributions are clearly visible: Gaussian (subcritical), Kolmogorov-Smirnov (critical), and exponential (supercritical). In this way we provide an intuitive explanation for the result reported in Botet and Płoszajczak, Phys. Rev. Lett. 95, 185702 (2005) for critical percolation."
"2016-09-01"	"PLOS ONE"	"11(9): e0161586"	"A. Corral, F. Font-Clos, R. Garcia-Millan"	"Exact derivation of a finite-size-scaling law and corrections to scaling in the geometric Galton-Watson process"	"A. Corral, F. Font-Clos, R. Garcia-Millan, PLOS ONE 11(9): e0161586"	"http://dx.doi.org/10.1371/journal.pone.0161586"	"https://arxiv.org/abs/1605.07349"	"https://fontclos.github.io/files/Corral_2016_Exact_Finite_Size_Scaling_Galton_Watson.pdf"	"finite-size-galton-watson.jpeg"	"finite-size-geometric-branching"	"We exactly demonstrate the existence of a finite-size scaling law for the Galton-Watson branching processes when the number of offsprings of each individual follows either a geometric distribution"	"The theory of finite-size scaling explains how the singular behavior of thermodynamic quantities in the critical point of a phase transition emerges when the size of the system becomes infinite. Usually, this theory is presented in a phenomenological way. Here, we exactly demonstrate the existence of a finite-size scaling law for the Galton-Watson branching processes when the number of offsprings of each individual follows either a geometric distribution or a generalized geometric distribution. We also derive the corrections to scaling and the limits of validity of the finite-size scaling law away the critical point. A mapping between branching processes and random walks allows us to establish that these results also hold for the latter case, for which the order parameter turns out to be the probability of hitting a distant boundary."
"2016-04-15"	"Physical Review X"	"6 021009"	"M. Gerlach, F. Font-Clos, E. G. Altmann"	"On the similarity of symbol frequency distributions with heavy tails"	"M. Gerlach, F. Font-Clos, E. G. Altmann, Phys. Rev. X 6 021009"	"http://dx.doi.org/10.1103/PhysRevX.6.021009"	"https://arxiv.org/abs/1510.00277"	"https://fontclos.github.io/files/Gerlach_2016_Similarity_Symbol_Frequency.pdf"	"similarity-symbol-frequency.jpeg"	"similarity-symbols"	"Quantifying the similarity between symbolic sequences is a traditional problem in information theory which requires comparing the frequencies of symbols in different sequences. I"	"Quantifying the similarity between symbolic sequences is a traditional problem in information theory which requires comparing the frequencies of symbols in different sequences. In numerous modern applications, ranging from DNA over music to texts, the distribution of symbol frequencies is characterized by heavy-tailed distributions (e.g., Zipf’s law). The large number of low-frequency symbols in these distributions poses major difficulties to the estimation of the similarity between sequences; e.g., they hinder an accurate finite-size estimation of entropies. Here, we show analytically how the systematic (bias) and statistical (fluctuations) errors in these estimations depend on the sample size N and on the exponent γ of the heavy-tailed distribution. Our results are valid for the Shannon entropy (α = 1), its corresponding similarity measures (e.g., the Jensen-Shanon divergence), and also for measures based on the generalized entropy of order α. For small α’s, including α = 1, the errors decay slower than the 1/N decay observed in short-tailed distributions. For α larger than a critical value α∗ = 1 + 1 / γ ≤ 2, the 1 / N decay is recovered. We show the practical significance of our results by quantifying the evolution of the English language over the last two centuries using a complete α spectrum of measures. We find that frequent words change more slowly than less frequent words and that α = 2 provides the most robust measure to quantify language change.
"
"2016-01-22"	"PLOS ONE"	"11(1): e0147073"	"I. Moreno-Sanchez, F. Font-Clos, A. Corral"	"Large-scale analysis of Zipf's law in English texts"	"I. Moreno-Sanchez, F. Font-Clos, A. Corral, PLOS ONE 11(1): e0147073"	"http://dx.doi.org/10.1371%2Fjournal.pone.0147073"	"https://arxiv.org/abs/1509.04486"	"https://fontclos.github.io/files/Moreno-Sanchez_2016_Large_Scale_Analysis_Zipf.pdf"	"large-scale-zipf.jpeg"	"large-scale-zipf"	"We study  three different versions of Zipf’s law and fitting them to all available English texts in the Project Gutenberg database (consisting of more than 30 000 texts)."	"Despite being a paradigm of quantitative linguistics, Zipf’s law for words suffers from three main problems: its formulation is ambiguous, its validity has not been tested rigorously from a statistical point of view, and it has not been confronted to a representatively large number of texts. So, we can summarize the current support of Zipf’s law in texts as anecdotic. We try to solve these issues by studying three different versions of Zipf’s law and fitting them to all available English texts in the Project Gutenberg database (consisting of more than 30 000 texts). To do so we use state-of-the art tools in fitting and goodness-of-fit tests, carefully tailored to the peculiarities of text statistics. Remarkably, one of the three versions of Zipf’s law, consisting of a pure power-law form in the complementary cumulative distribution function of word frequencies, is able to fit more than 40% of the texts in the database (at the 0.05 significance level), for the whole domain of frequencies (from 1 to the maximum value), and with only one free parameter (the exponent)."
"2015-08-19"	"Journal of the Royal Society Interface"	"12 20150543"	"O. Güell, F. A. Massucci, F. Font-Clos, F. Sagués, M. A. Serrano"	"Mapping high-growth phenotypes in the flux space of microbial metabolism"	"O. Güell, F. A. Massucci, F. Font-Clos, F. Sagués, M. A. Serrano, J. R. Soc. Interface 12 20150543."	"http://dx.doi.org/10.1098/rsif.2015.0543"	"https://arxiv.org/abs/1409.4595"	"https://fontclos.github.io/files/Guell_2015_Mapping_high_grow_phenotypes.pdf"	"mapping-phenotypes.jpeg"	"mapping-phenotypes"	"We confront optimal growth solutions to the whole set of feasible flux phenotypes of E. Coli"	"Experimental and empirical observations on cell metabolism cannot be understood as a whole without their integration into a consistent systematic framework. However, the characterization of metabolic flux phenotypes is typically reduced to the study of a single optimal state, such as maximum biomass yield that is by far the most common assumption. Here, we confront optimal growth solutions to the whole set of feasible flux phenotypes (FFPs), which provides a benchmark to assess the likelihood of optimal and high-growth states and their agreement with experimental results. In addition, FFP maps are able to uncover metabolic behaviours, such as aerobic fermentation accompanying exponential growth on sugars at nutrient excess conditions, that are unreachable using standard models based on optimality principles. The information content of the full FFP space provides us with a map to explore and evaluate metabolic behaviour and capabilities, and so it opens new avenues for biotechnological and biomedical applications."
